('凌晨四点凝视海棠花，更觉得它美极了。\n它盛放，含有一种哀伤的美。', '川端康成', '花未眠')
('任何一种花，每每由于赏花的时间和地点各异，人的感触也各有不同。', '川端康成', '古都')
('在田埂稍高的一角，只立着十来座旧石碑和地藏菩萨。\n每座坟都显得十分寒碜，光秃秃的，没有鲜花。', '川端康成', '雪国')
('女子系好腰带，还是时而站起，时而坐下，然后又踱来踱去。\n这种坐立不安的样子，像是夜间动物害怕黎明，焦灼地来回转悠似的。', '川端康成', '雪国')
('也许人世间的习惯与秩序，使他们的罪恶意识都麻木了。', '川端康成', '睡美人')
('生出一股美好而又空虚的情绪，无论别人多么亲切地对待我，我都非常自然地接受了。\n明早我将带着老婆子到上野站去买前往水户的车票，这也是完全应该做的事。\n我感到一切的一切都融为一体了。', '川端康成', '伊豆的舞女')
('在黑暗中，少年的体温温暖着我。\n我任凭泪泉涌流。\n我的头脑恍如变成了一池清水，一滴滴溢了出来，后来什么都没有留下，顿时觉得舒畅了。', '川端康成', '伊豆的舞女')
('从火车上望去，她好像一个在乡村水果店里的奇怪的水果，独自被遗弃在煤烟熏黑了的玻璃箱内似的。', '川端康成', '雪国')
('樱树对寒冷非常敏感，樱叶仿佛想起来似的飘落下来，带着秋天隐约可闻的声音掠过了潮湿的土地，旋即又被风儿遗弃，静静地枯死了。', '川端康成', '篝火')
('这场初雪，使得枫叶的红褐色渐渐淡去，远方的峰峦又变得鲜明起来。\n披上一层薄雪的杉林，分外鲜明地一株株耸立在雪地上，凌厉地伸向苍穹。', '川端康成', '雪国')
('我完全明白了。\n你最好还是不要下到我的世界来。\n被我拉出来的人，会被封锁在深渊的。\n要不就可怕喽。\n我和你来自不同的世界，我将终生向往你，回忆你，感谢你。', '川端康成', '湖')
('她这种情感与其说带有城市败北者那种傲慢的不满，不如说是一种单纯的徒劳。', '川端康成', '雪国')
('我潸然泪下，芒草穗的浪波还在朦胧中闪烁着银光。\n不过，这不是弄脏悲伤的泪珠，而是洗刷悲伤的眼泪。', '川端康成', '千只鹤')
('这种挚爱之情，不像一件绉纱那样能留下实在的痕迹。', '川端康成', '雪国')
('秋天也是从脚心的颜色、指甲的色泽中出来的。\n入夏之前，让我赤着脚吧。\n秋天到来之前，把赤脚藏起来吧。\n夏天把指甲修剪干净吧。', '川端康成', '初秋四景')
('舞女还是在后头保持两米左右的距离，埋头攀登。\n重峦叠嶂，寥无声息。\n其余的人远远落在我们后面，连说话的声音也听不见了。', '川端康成', '伊豆的舞女')
('看上去她那种对城市事物的憧憬，现在已隐藏在淳朴的绝望之中，变成一种天真的梦想。', '川端康成', '雪国')
