good	好的	/ɡʊd/
woman	女人	/ˈwʊmən/
need	需要	/niːd/
look	看	/lʊk/
pair	一对	/peər/
take	拿	/teɪk/
ten	十	/ten/
eleven	十一	/ɪˈlɛvən/
twelve	十二	/twɛlv/
thirteen	十三	/θɜrˈtin/
fifteen	十五	/ˈfɪftiːn/
eighteen	十八	/eɪˈtin/
twenty	二十	/ˈtwɛnti/
thirty	三十	/ˈθɜrˈtiː/
clothes	衣服	/kləʊðz/
store	商店	/stɔːr/
buy	买	/baɪ/
sale	销售	/seɪl/
sell	卖	/sɛl/
all	全部	/ɔːl/
very	非常	/ˈvɛri/
price	价格	/praɪs/
boy	男孩	/bɔɪ/
when	什么时候	/wɛn/
month	月	/mʌnθ/
january	一月	/ˈdʒænjuˌɛri/
february	二月	/ˈfɛbjuˌɛri/
march	三月	/mɑrtʃ/
april	四月	/ˈeɪprəl/
may	五月	/meɪ/
june	六月	/dʒun/
july	七月	/dʒʊˈlaɪ/
august	八月	/ɔːˈɡʌst/
september	九月	/sɛpˈtɛmbər/
october	十月	/ɑkˈtoʊbər/
november	十一月	/noʊˈvɛmbər/
december	十二月	/dɪˈsɛmbər/
happy	快乐	/ˈhæpi/
old	老	/oʊld/
party	派对	/ˈpɑrti/
second	第二	/ˈsɛkənd/
third	第三	/θɜrd/
fifth	第五	/fɪfθ/
eighth	第八	/eɪtθ/
ninth	第九	/naɪnθ/
twelfth	第十二	/twɛlfθ/
twentieth	第二十	/ˈtwɛntiəθ/
test	测试	/tɛst/
trip	旅行	/trɪp/
art	艺术	/ɑːrt/
festival	节日	/ˈfɛstəvəl/
dear	亲爱的	/dɪr/
student	学生	/ˈstjuːdnt/
thing	事物	/θɪŋ/
term	学期	/tɜːrm/
busy	忙碌的	/ˈbɪzi/
time	时间	/taɪm/
there	那里	/ðɛr/
favorite	最喜欢的	/ˈfeɪvərɪt/
subject	科目	/ˈsʌbdʒɪkt/
science	科学	/ˈsaɪəns/
music	音乐	/ˈmjuːzɪk/
math	数学	/mæθ/
chinese	中文	/ˈtʃaɪˌniz/
history	历史	/ˈhɪstəri/
why	为什么	/waɪ/
because	因为	/bɪˈkɔːz/
monday	星期一	/ˈmʌndeɪ/
friday	星期五	/ˈfraɪdeɪ/
saturday	星期六	/ˈsætərdeɪ/
free	自由的	/friː/
cool	酷	/kuːl/
tuesday	星期二	/ˈtjuːzdeɪ/
wednesday	星期三	/ˈwɛnzdeɪ/
thursday	星期四	/ˈθɜːrzdeɪ/
sunday	星期日	/ˈsʌndeɪ/
useful	有用的	/ˈjuːsfəl/
from	从	/frɒm/
mrs	夫人	/ˈmɪsɪz/
finish	完成	/ˈfɪnɪʃ/
lesson	课程	/ˈlɛsn/
hour	小时	/aʊər/
guitar	吉他	/ɡɪˈtɑːr/
join	参加	/dʒɔɪn/
dance	跳舞	/dæns/
swim	游泳	/swɪm/
sing	唱歌	/sɪŋ/
chess	国际象棋	/tʃɛs/
speak	说话	/spik/
piano	钢琴	/piˈænoʊ/
or	或者	/ɔːr/
musician	音乐家	/mjuˈzɪʃən/
show	展示	/ʃoʊ/
draw	画	/drɔː/
story	故事	/ˈstɔːri/
tell	告诉	/tɛl/
write	写	/raɪt/
talk	交谈	/tɔːk/
also	也	/ˈɔːlsoʊ/
people	人们	/ˈpiːpl/
center	中心	/ˈsɛntər/
home	家	/hoʊm/
today	今天	/təˈdeɪ/
make	制作	/meɪk/
weekend	周末	/ˈwiːkˌɛnd/
teach	教	/tiːtʃ/
usually	通常	/ˈjuːʒuəli/
up	向上	/ʌp/
dressed	穿着	/drɛst/
forty	四十	/ˈfɔːrti/
fifty	五十	/ˈfɪfti/
never	从不	/ˈnɛvər/
early	早	/ˈɜːrli/
station	车站	/ˈsteɪʃən/
funny	有趣的	/ˈfʌni/
exercise	锻炼	/ˈɛksərsaɪz/
group	组	/ɡruːp/
shower	淋浴	/ˈʃaʊər/
o'clock	点钟	/əˈklɑk/
work	工作	/wɜːrk/
brush	刷	/brʌʃ/
crush	压碎	/krʌʃ/
teeth	牙齿	/tiːθ/
job	工作	/dʒɑːb/
best	最好的	/bɛst/
half	一半	/hæf/
past	过去	/pæst/
quarter	四分之一	/ˈkwɔːrtər/
homework	家庭作业	/ˈhoʊmˌwɜːrk/
run	跑	/rʌn/
walk	走	/wɔːk/
clean	清洁	/kliːn/
quickly	快速地	/ˈkwɪkli/
either	任何一个	/ˈiːðər/
lot	很多	/lɑːt/
taste	品尝	/teɪst/
life	生活	/laɪf/
train	火车	/treɪn/
bus	公共汽车	/bʌs/
subway	地铁	/ˈsʌbˌweɪ/
ride	骑	/raɪd/
bike	自行车	/baɪk/
sixty	六十	/ˈsɪksti/
seventy	七十	/ˈsɛvənti/
eighty	八十	/ˈeɪti/
ninety	九十	/ˈnaɪnti/
hundred	一百	/ˈhʌndrəd/
far	远	/fɑːr/
minute	分钟	/ˈmɪnɪt/
kilometer	公里	/kɪˈlɒmɪtər/
new	新的	/nuː/
every	每个	/ˈɛvri/
by	通过	/baɪ/
drive	驾驶	/draɪv/
live	居住	/lɪv/
stop	停止	/stɑːp/
cross	穿过	/krɔːs/
river	河流	/ˈrɪvər/
many	许多	/ˈmɛni/
village	村庄	/ˈvɪlɪdʒ/
between	在...之间	/bɪˈtwiːn/
bridge	桥	/brɪdʒ/
boat	船	/boʊt/
year	年	/jɪr/
afraid	害怕	/əˈfreɪd/
leave	离开	/liːv/
dream	梦想	/drim/
true	真实的	/truː/
don't	不要	/doʊnt/
rule	规则	/ruːl/
arrive	到达	/əˈraɪv/
hall	大厅	/hɔːl/
listen	听	/ˈlɪsən/
sorry	抱歉	/ˈsɔːri/
outside	外面	/ˌaʊtˈsaɪd/
wear	穿	/wɛr/
important	重要的	/ɪmˈpɔːrtənt/
bring	带来	/brɪŋ/
quiet	安静的	/ˈkwaɪət/
out	出去	/aʊt/
dishes	碟子	/ˈdɪʃɪz/
night	夜晚	/naɪt/
before	在...之前	/bɪˈfɔːr/
dirty	脏的	/ˈdɜːrti/
kitchen	厨房	/ˈkɪtʃən/
more	更多	/mɔːr/
noisy	嘈杂的	/ˈnɔɪzi/
relax	放松	/rɪˈlæks/
read	阅读	/riːd/
terrible	可怕的	/ˈtɛrəbl/
feel	感觉	/fil/
strict	严格的	/strɪkt/
remember	记得	/rɪˈmɛmbər/
follow	跟随	/ˈfɑːloʊ/
luck	运气	/lʌk/
keep	保持	/kip/
hair	头发	/hɛr/
learn	学习	/lɜːrn/
tiger	老虎	/ˈtaɪɡər/
elephant	大象	/ˈɛlɪfənt/
koala	考拉	/ˈkoʊlə/
panda	熊猫	/ˈpændə/
lion	狮子	/ˈlaɪən/
cute	可爱的	/kjuːt/
lazy	懒惰的	/ˈleɪzi/
smart	聪明的	/smɑːrt/
beautiful	美丽的	/ˈbjutəfəl/
scary	可怕的	/ˈskɛri/
kind	友善的	/kaɪnd/
Australia	澳大利亚	/ɔːˈstreɪliə/
south	南方	/saʊθ/
Africa	非洲	/ˈæfrɪkə/
pet	宠物	/pɛt/
leg	腿	/lɛɡ/
cat	猫	/kæt/
sleep	睡觉	/sliːp/
animal	动物	/ˈænɪməl/
friendly	友好的	/ˈfrɛndli/
shy	害羞的	/ʃaɪ/
save	拯救	/seɪv/
symbol	象征	/ˈsɪmbəl/
flag	旗帜	/flæɡ/
forget	忘记	/fərˈɡɛt/
place	地方	/pleɪs/
water	水	/ˈwɔːtər/
danger	危险	/ˈdeɪndʒər/
cut	切	/kʌt/
down	向下	/daʊn/
tree	树	/triː/
kill	杀死	/kɪl/
over	结束	/ˈoʊvər/
zoo	动物园	/zuː/
i'm	我是	/aɪm/
newspaper	报纸	/ˈnuzˌpeɪpər/
use	使用	/jus/
soup	汤	/sup/
wash	洗	/wɑːʃ/
movie	电影	/ˈmuːvi/
just	只是	/dʒʌst/
house	房子	/haʊs/
drink	喝	/drɪŋk/
tea	茶	/tiː/
tomorrow	明天	/təˈmɔːroʊ/
pool	游泳池	/pul/
shop	购物	/ʃɑp/
supermarket	超市	/ˈsupərˌmɑrkɪt/
man	男人	/mæn/
host	主持人	/hoʊst/
study	学习	/ˈstʌdi/
status	状态	/ˈsteɪtəs/
dragon	龙	/ˈdræɡən/
young	年轻的	/jʌŋ/
race	比赛	/reɪs/
any	任何	/ˈɛni/
other	其他的	/ˈʌðər/
children	孩子们	/ˈtʃɪldrən/
miss	错过	/mɪs/
wish	希望	/wɪʃ/
delicious	美味的	/dɪˈlɪʃəs/
still	仍然	/stɪl/
living	生活	/ˈlɪvɪŋ/
it's	它是	/ɪts/
rain	下雨	/reɪn/
windy	有风的	/ˈwɪndi/
cloudy	多云的	/ˈklaʊdi/
sunny	阳光明媚的	/ˈsʌni/
snow	雪	/snoʊ/
weather	天气	/ˈwɛðər/
cook	烹饪	/kʊk/
bad	糟糕的	/bæd/
park	公园	/pɑrk/
message	消息	/ˈmɛsɪdʒ/
him	他	/hɪm/
could	可以	/kʊd/
back	回来	/bæk/
problem	问题	/ˈprɑbləm/
again	再次	/əˈɡɛn/
dry	干燥的	/draɪ/
cold	寒冷的	/koʊld/
hot	炎热的	/hɑt/
warm	温暖的	/wɔrm/
visit	访问	/ˈvɪzɪt/
canada	加拿大	/kəˈnædə/
summer	夏天	/ˈsʌmər/
sit	坐	/sɪt/
juice	果汁	/dʒus/
soon	很快	/sun/
vacation	假期	/veɪˈkeɪʃən/
hard	困难的	/hɑrd/
europe	欧洲	/ˈjʊrəp/
mountain	山	/ˈmaʊntən/
country	国家	/ˈkʌntri/
skate	滑冰	/skeɪt/
snowy	多雪的	/ˈsnoʊi/
winter	冬天	/ˈwɪntər/
russian	俄罗斯的	/ˈrʌʃən/
snowman	雪人	/ˈsnoʊˌmæn/
rainy	多雨的	/ˈreɪni/
Moscow	莫斯科	/ˈmɒskoʊ/
Mexico	墨西哥	/ˈmɛksɪkoʊ/
Toronto	多伦多	/təˈrɒntoʊ/
Boston	波士顿	/ˈbɔːstən/
post	邮局	/poʊst/
office	办公室	/ˈɔːfɪs/
police	警察	/pəˈlis/
hotel	酒店	/hoʊˈtɛl/
restaurant	餐厅	/ˈrɛstərɒnt/
bank	银行	/bæŋk/
hospital	医院	/ˈhɑːspɪtl/
street	街道	/striːt/
pay	支付	/peɪ/
payphone	公用电话	/ˈpeɪfoʊn/
across	穿过	/əˈkrɔːs/
front	前面	/frʌnt/
behind	后面	/bɪˈhaɪnd/
town	城镇	/taʊn/
around	周围	/əˈraʊnd/
north	北方	/nɔːrθ/
along	沿着	/əˈlɔːŋ/
turn	转弯	/tɜːrn/
left	左边	/lɛft/
crossing	十字路口	/ˈkrɔːsɪŋ/
neighborhood	社区	/ˈneɪbərˌhʊd/
spend	花费	/spɛnd/
climb	攀登	/klaɪm/
road	道路	/roʊd/
often	经常	/ˈɔːfən/
air	空气	/ɛr/
sun	太阳	/sʌn/
enjoy	享受	/ɪnˈdʒɔɪ/
easily	容易地	/ˈiːzɪli/
money	钱	/ˈmʌni/
curly	卷曲的	/ˈkɜːrli/
straight	直的	/streɪt/
tall	高的	/tɔːl/
medium	中等的	/ˈmidiəm/
height	身高	/haɪt/
thin	瘦的	/θɪn/
heavy	重的	/ˈhɛvi/
build	建造	/bɪld/
tonight	今晚	/təˈnaɪt/
little	小的	/ˈlɪtl/
cinema	电影院	/ˈsɪnəmə/
glasses	眼镜	/ˈɡlæsɪz/
later	稍后	/ˈleɪtər/
handsome	英俊的	/ˈhænsəm/
actor	男演员	/ˈæktər/
actress	女演员	/ˈæktrəs/
let's	让我们	/lɛts/
o'clock	点钟	/əˈklɑk/
don't	不要	/doʊnt/
i'm	我是	/aɪm/
American	美国人	/əˈmɛrɪkən/
it's	它是	/ɪts/
person	人	/ˈpɜːrsən/
nose	鼻子	/noʊz/
mouth	嘴巴	/maʊθ/
round	圆的	/raʊnd/
face	脸	/feɪs/
eye	眼睛	/aɪ/
singer	歌手	/ˈsɪŋər/
artist	艺术家	/ˈɑːrtɪst/
crime	犯罪	/kraɪm/
criminal	罪犯	/ˈkrɪmɪnl/
put	放	/pʊt/
each	每个	/itʃ/
way	方式	/weɪ/
describe	描述	/dɪˈskraɪb/
differently	不同地	/ˈdɪfərəntli/
another	另一个	/əˈnʌðər/
end	结束	/ɛnd/
real	真实的	/riːl/
jeans	牛仔裤	/dʒinz/
i'd	我会	/aɪd/
noodle	面条	/ˈnuːdl/
beef	牛肉	/bif/
cabbage	卷心菜	/ˈkæbɪdʒ/
potato	土豆	/pəˈteɪtoʊ/
special	特别的	/ˈspɛʃəl/
would	将会	/wʊd/
large	大的	/lɑːrdʒ/
order	订单	/ˈɔːrdər/
size	尺寸	/saɪz/
bowl	碗	/boʊl/
tofu	豆腐	/ˈtoʊfuː/
meat	肉	/mit/
dumpling	饺子	/ˈdʌmplɪŋ/
porridge	粥	/ˈpɔːrɪdʒ/
onion	洋葱	/ˈʌnjən/
fish	鱼	/fɪʃ/
world	世界	/wɜːrld/
answer	回答	/ˈænsər/
different	不同的	/ˈdɪfərənt/
cake	蛋糕	/keɪk/
candle	蜡烛	/ˈkændl/
age	年龄	/eɪdʒ/
blow	吹	/bloʊ/
if	如果	/ɪf/
will	将要	/wɪl/
candy	糖果	/ˈkændi/
lucky	幸运的	/ˈlʌki/
popular	受欢迎的	/ˈpɑːpjələr/
idea	主意	/aɪˈdiə/
cow	奶牛	/kaʊ/
horse	马	/hɔːrs/
feed	喂养	/fid/
farmer	农民	/ˈfɑːrmər/
anything	任何事物	/ˈɛniθɪŋ/
grow	生长	/ɡroʊ/
farm	农场	/fɑːrm/
pick	挑选	/pɪk/
excellent	优秀的	/ˈɛksələnt/
countryside	乡村	/ˈkʌntrisaɪd/
yesterday	昨天	/ˈjɛstərdeɪ/
flower	花	/ˈflaʊər/
worry	担心	/ˈwɜːri/
luckily	幸运地	/ˈlʌkəli/
museum	博物馆	/mjuːˈziəm/
fire	火	/faɪər/
painting	绘画	/ˈpeɪntɪŋ/
exciting	令人兴奋的	/ɪkˈsaɪtɪŋ/
lovely	可爱的	/ˈlʌvli/
expensive	昂贵的	/ɪkˈspɛnsɪv/
cheap	便宜的	/tʃiːp/
slow	慢的	/sloʊ/
fast	快的	/fæst/
robot	机器人	/ˈroʊbɑːt/
guide	导游	/ɡaɪd/
gift	礼物	/ɡɪft/
everything	一切	/ˈɛvriθɪŋ/
interested	感兴趣的	/ˈɪntrəstɪd/
dark	黑暗的	/dɑːrk/
hear	听到	/hɪr/
camp	露营	/kæmp/
lake	湖	/leɪk/
beach	海滩	/bitʃ/
badminton	羽毛球	/ˈbædmɪntən/
sheep	羊	/ʃiːp/
as	作为	/æz/
natural	自然的	/ˈnætʃərəl/
butterfly	蝴蝶	/ˈbʌtərflaɪ/
tired	疲倦的	/ˈtaɪərd/
stay	停留	/steɪ/
away	离开	/əˈweɪ/
mouse	老鼠	/maʊs/
baby	宝宝	/ˈbeɪbi/
shout	喊叫	/ʃaʊt/
language	语言	/ˈlæŋɡwɪdʒ/
let's	让我们	/lɛts/
o'clock	点钟	/əˈklɑk/
don't	不要	/doʊnt/
i'm	我是	/aɪm/
it's	它是	/ɪts/
i'd	我会	/aɪd/
fly	飞	/flaɪ/
high	高	/haɪ/
ago	以前	/əˈɡoʊ/
India	印度	/ˈɪndiə/
cent	分	/sɛnt/
moon	月亮	/mun/
surprise	惊喜	/sərˈpraɪz/
scared	害怕	/skɛrd/
move	移动	/muv/
start	开始	/stɑrt/
jump	跳	/dʒʌmp/
wake	醒来	/weɪk/
into	进入	/ˈɪntu/
forest	森林	/ˈfɔrɪst/
ear	耳朵	/ɪr/
lucy	露西	/ˈlusɪ/
anyone	任何人	/ˈɛniwʌn/
anywhere	任何地方	/ˈɛniwɛr/
wonderful	美妙的	/ˈwʌndərful/
few	少数	/fju/
most	大多数	/moʊst/
something	某事	/ˈsʌmθɪŋ/
myself	我自己	/maɪˈsɛlf/
everyone	每个人	/ˈɛvriwʌn/
yourself	你自己	/jɔrˈsɛlf/
bored	无聊的	/bɔrd/
pig	猪	/pɪɡ/
seem	似乎	/sim/
someone	某人	/ˈsʌmwʌn/
activity	活动	/ækˈtɪvəti/
decide	决定	/dɪˈsaɪd/
try	尝试	/traɪ/
bird	鸟	/bɜrd/
bicycle	自行车	/ˈbaɪsɪkəl/
building	建筑	/ˈbɪldɪŋ/
wonder	想知道	/ˈwʌndər/
difference	差异	/ˈdɪfərəns/
top	顶部	/tɑp/
wait	等待	/weɪt/
umbrella	雨伞	/ʌmˈbrɛlə/
wet	湿	/wɛt/
below	下面	/bɪˈloʊ/
enough	足够	/ɪˈnʌf/
duck	鸭子	/dʌk/
hungry	饥饿的	/ˈhʌŋɡri/
dislike	不喜欢	/dɪsˈlaɪk/
housework	家务	/ˈhaʊswɜːrk/
ever	曾经	/ˈɛvər/
once	一次	/wʌns/
twice	两次	/twaɪs/
internet	互联网	/ˈɪntərnɛt/
program	节目	/ˈproʊɡræm/
full	饱的	/fʊl/
swing	摇摆	/swɪŋ/
maybe	可能	/ˈmeɪbi/
least	最少	/list/
junk	垃圾	/dʒʌŋk/
coffee	咖啡	/ˈkɔːfi/
health	健康	/hɛlθ/
result	结果	/rɪˈzʌlt/
percent	百分之	/pərˈsɛnt/
online	在线的	/ˈɑːnˌlaɪn/
television	电视	/ˈtɛləˌvɪʒən/
although	虽然	/ɔːlˈðoʊ/
through	通过	/θruː/
body	身体	/ˈbɑːdi/
mind	思想	/maɪnd/
such	这样的	/sʌtʃ/
together	一起	/təˈɡɛðər/
die	死	/daɪ/
writer	作家	/ˈraɪtər/
dentist	牙医	/ˈdɛntɪst/
magazine	杂志	/ˌmæɡəˈzin/
however	然而	/haʊˈɛvər/
than	比	/ðæn/
almost	几乎	/ˈɔːlˌmoʊst/
none	没有	/nʌn/
less	较少	/lɛs/
point	点	/pɔɪnt/
outgoing	外向的	/ˈaʊtˌɡoʊɪŋ/
better	更好	/ˈbɛtər/
loudly	大声地	/ˈlaʊdli/
quietly	安静地	/ˈkwaɪətli/
competition	竞争	/ˌkɑːmpəˈtɪʃən/
which	哪个	/wɪtʃ/
clearly	清楚地	/ˈklɪrli/
win	赢	/wɪn/
though	虽然	/ðoʊ/
care	关心	/kɛr/
talented	有才华的	/ˈtæləntɪd/
truly	真正地	/ˈtruːli/
serious	严重的	/ˈsɪriəs/
mirror	镜子	/ˈmɪrər/
necessary	必要的	/ˈnɛsəˌsɛri/
both	两者都	/boʊθ/
should	应该	/ʃʊd/
touch	触摸	/tʌtʃ/
reach	达到	/riːtʃ/
heart	心脏	/hɑːrt/
fact	事实	/fækt/
break	打破	/breɪk/
laugh	笑	/læf/
similar	相似的	/ˈsɪmələr/
share	分享	/ʃer/
loud	大声的	/laʊd/
primary	主要的	/ˈpraɪmeri/
information	信息	/ˌɪnfərˈmeɪʃən/
comfortable	舒适的	/ˈkʌmftərbəl/
seat	座位	/siːt/
screen	屏幕	/skriːn/
close	关闭	/kloʊz/
worst	最差的	/wɜːrst/
cheaply	廉价地	/ˈtʃiːpli/
song	歌曲	/sɔːŋ/
choose	选择	/tʃuːz/
careful	小心的	/ˈkerfəl/
reporter	记者	/rɪˈpɔːrtər/
fresh	新鲜的	/frɛʃ/
comfortably	舒适地	/ˈkʌmftərəbli/
worse	更糟的	/wɜːrs/
service	服务	/ˈsɜːrvɪs/
pretty	漂亮的	/ˈprɪti/
menu	菜单	/ˈmɛnjuː/
act	行动	/ækt/
meal	餐	/miːl/
creative	创造性的	/kriˈeɪtɪv/
performer	表演者	/pərˈfɔːrmər/
talent	才能	/ˈtælənt/
common	常见的	/ˈkɑːmən/
magician	魔术师	/məˈdʒɪʃən/
beautifully	美丽地	/ˈbjutəfəli/
role	角色	/roʊl/
winner	获胜者	/ˈwɪnər/
sore	疼痛的	/sɔːr/
score	得分	/skɔːr/
prize	奖品	/praɪz/
everybody	每个人	/ˈɛvribɑːdi/
example	例子	/ɪɡˈzæmpl/
poor	贫穷的	/pʊr/
